Team,Coach,Week,Slot,Bench,Position,Player,Franchise,Stats,Fantasy Points,Opponent,Opponent Coach,Year,Game No.,Original Order,Gamecode,Playercode,Against Playercode,Postioncode,,,Team Name,Coach,,,,Coaches,,Position,,Seasons
46 Men in Flight,Ciaran,1,QB,,QB,B. Roethlisberger,PIT,"263 Pass Yds,2 Pass TD,1 Int,-8 Rush Yds",15.72,Chris's B Team,Catherine,2017,1,1,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,46 Men in Flight,Ciaran,,,,Scan,,All,,2015
46 Men in Flight,Ciaran,1,RB1,,RB,L. Blount,PHI,"46 Rush Yds,1 Rec Yds,1 Rec TD",10.7,Chris's B Team,Catherine,2017,1,2,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Chris's B Team,Catherine,,,,Ciaran,,QB,,2016
46 Men in Flight,Ciaran,1,RB2,,RB,T. Gurley,LA,"40 Rush Yds,1 Rush TD,56 Rec Yds",15.6,Chris's B Team,Catherine,2017,1,3,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,GRONK GRONK GRONK GRONK,Niall,,,,Chris,,RB,,2017
46 Men in Flight,Ciaran,1,WR1,,WR,M. Bryant,PIT,14 Rec Yds,1.4,Chris's B Team,Catherine,2017,1,4,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Glorious Demon God Fist,Chris,,,,Dudley,,WR,,2018
46 Men in Flight,Ciaran,1,WR2,,WR,C. Davis,TEN,69 Rec Yds,6.9,Chris's B Team,Catherine,2017,1,5,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Crowler's Scowlers,Dee,,,,Niall,,TE,,2019
46 Men in Flight,Ciaran,1,TE,,TE,G. Olsen,CAR,18 Rec Yds,1.8,Chris's B Team,Catherine,2017,1,6,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,A great bunch of lads,Scan,,,,Whytey,,K,,2020
46 Men in Flight,Ciaran,1,W/R,,RB,M. Gordon,LAC,"54 Rush Yds,25 Rec Yds,1 Rec TD",13.9,Chris's B Team,Catherine,2017,1,7,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,PackingCheeseheadsSince1921,Whytey,,,,Catherine,,DEF,,2021
46 Men in Flight,Ciaran,1,K,,K,C. Santos,CHI,6 PAT,6,Chris's B Team,Catherine,2017,1,8,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,buffalo baby-oilers,Beano,,,,Stephen,,BN,,2022
46 Men in Flight,Ciaran,1,DEF,,DEF,Vikings,DEF,"19 Pts,1 Sck",2,Chris's B Team,Catherine,2017,1,9,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Jacquizz In Yo Face,Stephen,,,,Dee,,,,2023
46 Men in Flight,Ciaran,1,BN1,BN,WR,D. Jackson,TB,0,0,Chris's B Team,Catherine,2017,1,10,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Rodwins Rodskins,Rod,,,,Beano,,,,2024
46 Men in Flight,Ciaran,1,BN2,BN,WR,D. Hopkins,HOU,"55 Rec Yds,1 Rec TD",11.5,Chris's B Team,Catherine,2017,1,11,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Tasty Scans,Ciaran,,,,Rod,,,,
46 Men in Flight,Ciaran,1,BN3,BN,TE,J. Doyle,IND,41 Rec Yds,4.1,Chris's B Team,Catherine,2017,1,12,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Go Luck Yourself,Stephen,,,,Dave,,,,
46 Men in Flight,Ciaran,1,BN4,BN,QB,J. Winston,TB,0,0,Chris's B Team,Catherine,2017,1,13,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Tom Brady - American Icon,Chris,,,,,,,,
46 Men in Flight,Ciaran,1,BN5,BN,WR,D. Parker,MIA,0,0,Chris's B Team,Catherine,2017,1,14,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Buffal-oh-bollocks,Beano,,,,,,,,
46 Men in Flight,Ciaran,1,BN6,BN,RB,S. Perine,WAS,0,0,Chris's B Team,Catherine,2017,1,15,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,The Iron Price,Niall,,,,,,,,
Chris's B Team,Catherine,1,QB,,QB,C. Newton,CAR,"171 Pass Yds,2 Pass TD,1 Int,3 Rush Yds",13.14,46 Men in Flight,Ciaran,2017,1,16,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,HandsomeRodgersPlusSix,Whytey,,,,,,,,
Chris's B Team,Catherine,1,RB1,,RB,L. Bell,PIT,"32 Rush Yds,15 Rec Yds",4.7,46 Men in Flight,Ciaran,2017,1,17,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Sponsored by Nike,Scan,,,,,,,,
Chris's B Team,Catherine,1,RB2,,RB,C. Anderson,DEN,"81 Rush Yds,7 Rec Yds",8.8,46 Men in Flight,Ciaran,2017,1,18,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,king-of-tekken7,Dudley,,,,,,,,
Chris's B Team,Catherine,1,WR1,,WR,T. Hilton,IND,"57 Rec Yds,1 Fum",3.7,46 Men in Flight,Ciaran,2017,1,19,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Fight Chubb,Stephen,,,,,,,,
Chris's B Team,Catherine,1,WR2,,WR,D. Adams,GB,47 Rec Yds,4.7,46 Men in Flight,Ciaran,2017,1,20,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,RIP Nialls Season,Scan,,,,,,,,
Chris's B Team,Catherine,1,TE,,TE,H. Henry,LAC,0,0,46 Men in Flight,Ciaran,2017,1,21,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,More than a Thielen,Dee,,,,,,,,
Chris's B Team,Catherine,1,W/R,,WR,M. Thomas,NO,45 Rec Yds,4.5,46 Men in Flight,Ciaran,2017,1,22,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Can you Digg it,Catherine,,,,,,,,
Chris's B Team,Catherine,1,K,,K,Dustin Hopkins,WAS,"2 PAT,1 30-39",5,46 Men in Flight,Ciaran,2017,1,23,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Karters Kreamy Kuckold,Whytey,,,,,,,,
Chris's B Team,Catherine,1,DEF,,DEF,Jets,DEF,"21 Pts,2 Sck,1 Int",4,46 Men in Flight,Ciaran,2017,1,24,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,BB Protection Agency,Beano,,,,,,,,
Chris's B Team,Catherine,1,BN1,BN,TE,A. Gates,LAC,17 Rec Yds,1.7,46 Men in Flight,Ciaran,2017,1,25,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,RIP 2019 Season Part 3,Niall,,,,,,,,
Chris's B Team,Catherine,1,BN2,BN,RB,F. Gore,IND,"42 Rush Yds,10 Rec Yds",5.2,46 Men in Flight,Ciaran,2017,1,26,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Chillin' With Mahomies,Dudley,,,,,,,,
Chris's B Team,Catherine,1,BN3,BN,QB,D. Prescott,DAL,"268 Pass Yds,1 Pass TD,24 Rush Yds",17.12,46 Men in Flight,Ciaran,2017,1,27,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Washington Innocentmen,Ciaran,,,,,,,,
Chris's B Team,Catherine,1,BN4,BN,WR,C. Coleman,CLE,"53 Rec Yds,1 Rec TD",11.3,46 Men in Flight,Ciaran,2017,1,28,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Fuck You Big Ben,Stephen,,,,,,,,
Chris's B Team,Catherine,1,BN5,BN,WR,Z. Jones,BUF,21 Rec Yds,2.1,46 Men in Flight,Ciaran,2017,1,29,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Jonesing for Jones,Whytey,,,,,,,,
Chris's B Team,Catherine,1,BN6,BN,WR,C. Samuel,CAR,0,0,46 Men in Flight,Ciaran,2017,1,30,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Beano Bell Boyd Bollocks,Beano,,,,,,,,
GRONK GRONK GRONK GRONK,Niall,1,QB,,QB,T. Brady,NE,267 Pass Yds,10.68,Glorious Demon God Fist,Chris,2017,2,31,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Justice for Fuller,Niall,,,,,,,,
GRONK GRONK GRONK GRONK,Niall,1,RB1,,RB,T. West,BAL,"80 Rush Yds,1 Rush TD",14,Glorious Demon God Fist,Chris,2017,2,32,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Sir Purr,Dee,,,,,,,,
GRONK GRONK GRONK GRONK,Niall,1,RB2,,RB,D. Johnson,ARI,"23 Rush Yds,1 Fum,67 Rec Yds",7,Glorious Demon God Fist,Chris,2017,2,33,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Autodraft Asphyxiation,Catherine,,,,,,,,
GRONK GRONK GRONK GRONK,Niall,1,WR1,,WR,J. Nelson,GB,"79 Rec Yds,1 Rec TD",13.9,Glorious Demon God Fist,Chris,2017,2,34,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Hey You Guys,Dudley,,,,,,,,
GRONK GRONK GRONK GRONK,Niall,1,WR2,,WR,P. Garcon,SF,81 Rec Yds,8.1,Glorious Demon God Fist,Chris,2017,2,35,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,The Trials of the Heart,Chris,,,,,,,,
